canonical_pathway	pvalue_adj	sig
SA_B_CELL_RECEPTOR_COMPLEXES	1	0
SA_CASPASE_CASCADE	1	0
SA_FAS_SIGNALING	1	0
SA_G1_AND_S_PHASES	1	0
SA_G2_AND_M_PHASES	1	0
SA_MMP_CYTOKINE_CONNECTION	1	0
SA_PROGRAMMED_CELL_DEATH	1	0
SA_PTEN_PATHWAY	1	0
SA_REG_CASCADE_OF_CYCLIN_EXPR	1	0
SA_TRKA_RECEPTOR	1	0
SIG_BCR_SIGNALING_PATHWAY	1	0
SIG_CD40PATHWAYMAP	1	0
SIG_CHEMOTAXIS	1	0
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	1	0
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	1	0
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	1	0
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	1	0
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES	1	0
WNT_SIGNALING	1	0
BIOCARTA_41BB_PATHWAY	1	0
BIOCARTA_ACE2_PATHWAY	1	0
BIOCARTA_ACETAMINOPHEN_PATHWAY	1	0
BIOCARTA_ACH_PATHWAY	1	0
BIOCARTA_ACTINY_PATHWAY	1	0
BIOCARTA_AGPCR_PATHWAY	1	0
BIOCARTA_AGR_PATHWAY	1	0
BIOCARTA_AHSP_PATHWAY	1	0
BIOCARTA_AKAP13_PATHWAY	1	0
BIOCARTA_AKAP95_PATHWAY	1	0
BIOCARTA_AKAPCENTROSOME_PATHWAY	1	0
BIOCARTA_AKT_PATHWAY	1	0
BIOCARTA_ALK_PATHWAY	1	0
BIOCARTA_ALTERNATIVE_PATHWAY	1	0
BIOCARTA_AMAN_PATHWAY	1	0
BIOCARTA_AMI_PATHWAY	1	0
BIOCARTA_ARAP_PATHWAY	1	0
BIOCARTA_ARENRF2_PATHWAY	1	0
BIOCARTA_ARF_PATHWAY	1	0
BIOCARTA_ASBCELL_PATHWAY	1	0
BIOCARTA_AT1R_PATHWAY	1	0
BIOCARTA_ATM_PATHWAY	1	0
BIOCARTA_ATRBRCA_PATHWAY	1	0
BIOCARTA_BAD_PATHWAY	1	0
BIOCARTA_BARD1_PATHWAY	1	0
BIOCARTA_BARRESTIN_PATHWAY	1	0
BIOCARTA_BARRESTIN_SRC_PATHWAY	1	0
BIOCARTA_BARR_MAPK_PATHWAY	1	0
BIOCARTA_BBCELL_PATHWAY	1	0
BIOCARTA_BCELLSURVIVAL_PATHWAY	1	0
BIOCARTA_BCR_PATHWAY	1	0
BIOCARTA_BIOPEPTIDES_PATHWAY	1	0
BIOCARTA_BLYMPHOCYTE_PATHWAY	1	0
BIOCARTA_BOTULIN_PATHWAY	1	0
BIOCARTA_BTG2_PATHWAY	1	0
BIOCARTA_CACAM_PATHWAY	1	0
BIOCARTA_CALCINEURIN_PATHWAY	1	0
BIOCARTA_CARDIACEGF_PATHWAY	1	0
BIOCARTA_CARM1_PATHWAY	1	0
BIOCARTA_CARM_ER_PATHWAY	1	0
BIOCARTA_CASPASE_PATHWAY	1	0
BIOCARTA_CB1R_PATHWAY	1	0
BIOCARTA_CBL_PATHWAY	1	0
BIOCARTA_CCR3_PATHWAY	1	0
BIOCARTA_CCR5_PATHWAY	1	0
BIOCARTA_CD40_PATHWAY	1	0
BIOCARTA_CDC25_PATHWAY	1	0
BIOCARTA_CDC42RAC_PATHWAY	1	0
BIOCARTA_CDK5_PATHWAY	1	0
BIOCARTA_CDMAC_PATHWAY	1	0
BIOCARTA_CELL2CELL_PATHWAY	1	0
BIOCARTA_CELLCYCLE_PATHWAY	1	0
BIOCARTA_CERAMIDE_PATHWAY	1	0
BIOCARTA_CFTR_PATHWAY	1	0
BIOCARTA_CHEMICAL_PATHWAY	1	0
BIOCARTA_CHREBP_PATHWAY	1	0
BIOCARTA_CIRCADIAN_PATHWAY	1	0
BIOCARTA_CK1_PATHWAY	1	0
BIOCARTA_CLASSIC_PATHWAY	1	0
BIOCARTA_COMP_PATHWAY	1	0
BIOCARTA_CPSF_PATHWAY	1	0
BIOCARTA_CREB_PATHWAY	1	0
BIOCARTA_CREM_PATHWAY	1	0
BIOCARTA_CSK_PATHWAY	1	0
BIOCARTA_CTBP1_PATHWAY	1	0
BIOCARTA_CTCF_PATHWAY	1	0
BIOCARTA_CTLA4_PATHWAY	1	0
BIOCARTA_CTL_PATHWAY	1	0
BIOCARTA_CXCR4_PATHWAY	1	0
BIOCARTA_CYTOKINE_PATHWAY	1	0
BIOCARTA_D4GDI_PATHWAY	1	0
BIOCARTA_DC_PATHWAY	1	0
BIOCARTA_DEATH_PATHWAY	1	0
BIOCARTA_DICER_PATHWAY	1	0
BIOCARTA_DNAFRAGMENT_PATHWAY	1	0
BIOCARTA_DREAM_PATHWAY	1	0
BIOCARTA_DSP_PATHWAY	1	0
BIOCARTA_ECM_PATHWAY	1	0
BIOCARTA_EDG1_PATHWAY	1	0
BIOCARTA_EEA1_PATHWAY	1	0
BIOCARTA_EFP_PATHWAY	1	0
BIOCARTA_EGFR_SMRTE_PATHWAY	1	0
BIOCARTA_EGF_PATHWAY	1	0
BIOCARTA_EICOSANOID_PATHWAY	0	1
BIOCARTA_EIF2_PATHWAY	1	0
