gene_name	entrezID	qvalue
ADAM15	8751	0.0364979635651817
EFNA4	1945	0.0364979635651817
EFNA3	1944	0.0364979635651817
EFNA1	1942	0.0364979635651817
SLC50A1	55974	0.0364979635651817
DPM3	54344	0.0364979635651817
KRTCAP2	200185	0.0364979635651817
TRIM46	80128	0.0364979635651817
MUC1	4582	0.0364979635651817
THBS3	7059	0.0364979635651817
MTX1	4580	0.0364979635651817
GBA	2629	0.0364979635651817
LRBA	987	0.0364979635651817
GCNT4	51301	0.0407918416316737
HMGCR	3156	0.0407918416316737
COL4A3BP	10087	0.0407918416316737
POLK	51426	0.0407918416316737
ANKDD1B	728780	0.0407918416316737
POC5	134359	0.0407918416316737
L3MBTL3	84456	0.018040836277189
UBXN2B	137886	0.018040836277189
CYP7A1	1581	0.018040836277189
SDCBP	6386	0.018040836277189
LSP1	4046	0.018040836277189
TNNT3	7140	0.018040836277189
MRPL23	6150	0.018040836277189
TSG101	7251	0.0202959408118376
UEVLD	55293	0.0202959408118376
SPTY2D1	144108	0.0202959408118376
TMEM258	746	0.018040836277189
FEN1	2237	0.018040836277189
SEMA7A	8482	0.0364979635651817
UBL7	84993	0.0364979635651817
CLK3	1198	0.0364979635651817
EDC3	80153	0.0364979635651817
CYP1A1	1543	0.0364979635651817
CYP1A2	1544	0.0364979635651817
CSK	1445	0.0364979635651817
LMAN1L	79748	0.0364979635651817
ULK3	25989	0.0364979635651817
SCAMP2	10066	0.0364979635651817
MPI	4351	0.0364979635651817
COX5A	9377	0.0364979635651817
RPP25	54913	0.0364979635651817
SCAMP5	192683	0.0364979635651817
PPCDC	60490	0.0364979635651817
C15orf39	56905	0.0364979635651817
MAN2C1	4123	0.0364979635651817
PTPN9	5780	0.0364979635651817
SNUPN	10073	0.0364979635651817
IMP3	55272	0.0364979635651817
CSPG4	1464	0.0364979635651817
FURIN	5045	0.018040836277189
FES	2242	0.018040836277189
MAN2A2	4122	0.018040836277189
UNC45A	55898	0.018040836277189
HDDC3	374659	0.018040836277189
RCCD1	91433	0.018040836277189
PRC1	9055	0.018040836277189
VPS33B	26276	0.018040836277189
