drug	canonical_pathway	perm_pvalue_adj
darolutamide	SA_CASPASE_CASCADE	0.34
darolutamide	SA_G1_AND_S_PHASES	0.138
darolutamide	SA_REG_CASCADE_OF_CYCLIN_EXPR	0.242
darolutamide	BIOCARTA_ARF_PATHWAY	0.08
darolutamide	BIOCARTA_BCELLSURVIVAL_PATHWAY	0.278
darolutamide	BIOCARTA_CASPASE_PATHWAY	0.354
darolutamide	BIOCARTA_CELLCYCLE_PATHWAY	0.29
darolutamide	BIOCARTA_CTCF_PATHWAY	0.172
darolutamide	BIOCARTA_D4GDI_PATHWAY	0.238
darolutamide	BIOCARTA_DEATH_PATHWAY	0.382
darolutamide	BIOCARTA_DNAFRAGMENT_PATHWAY	0.198
darolutamide	BIOCARTA_FAS_PATHWAY	0.164
darolutamide	BIOCARTA_G1_PATHWAY	0.29
darolutamide	BIOCARTA_HIVNEF_PATHWAY	0.252
darolutamide	BIOCARTA_RACCYCD_PATHWAY	0.174
darolutamide	BIOCARTA_SET_PATHWAY	0.266
darolutamide	BIOCARTA_TNFR1_PATHWAY	0.216
darolutamide	KEGG_CELL_CYCLE	0.408
darolutamide	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.734
darolutamide	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.756
darolutamide	KEGG_PATHWAYS_IN_CANCER	0.098
darolutamide	KEGG_PROSTATE_CANCER	0.026
darolutamide	KEGG_RNA_DEGRADATION	0.812
darolutamide	KEGG_SMALL_CELL_LUNG_CANCER	0.174
darolutamide	KEGG_SULFUR_METABOLISM	0.298
darolutamide	KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01350	0.042
darolutamide	KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_CELL_CYCLE_G1_S	0.094
darolutamide	KEGG_MEDICUS_PATHOGEN_HCV_CORE_TO_RXRA_LXRA_MEDIATED_TRANSCRIPTION	0.144
darolutamide	KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING	0.578
darolutamide	KEGG_MEDICUS_PATHOGEN_KSHV_LANA_TO_WNT_SIGNALING_PATHWAY	0.124
