drug	canonical_pathway	perm_pvalue_adj
fenofibrate	BIOCARTA_CHREBP_PATHWAY	0.18
fenofibrate	KEGG_BASAL_CELL_CARCINOMA	0.537
fenofibrate	KEGG_MELANOGENESIS	0.438
fenofibrate	KEGG_PATHWAYS_IN_CANCER	0.573
fenofibrate	KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY	0.936
fenofibrate	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_SOST_LRP4	0.531
fenofibrate	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY	0.831
fenofibrate	KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	0.831
fenofibrate	REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	0.072
fenofibrate	REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	0.102
fenofibrate	REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.081
fenofibrate	REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.195
fenofibrate	WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME	0.507
fenofibrate	WP_BREAST_CANCER_PATHWAY	0.75
fenofibrate	WP_EMBRYONIC_STEM_CELL_PLURIPOTENCY_PATHWAYS	0.648
fenofibrate	WP_FOXA2_PATHWAY	0.021
fenofibrate	WP_OSTEOBLAST_DIFFERENTIATION_AND_RELATED_DISEASES	0.774
fenofibrate	WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	0.93
fenofibrate	WP_WNT_SIGNALING_PATHWAY_AND_PLURIPOTENCY	0.6
gemfibrozil	BIOCARTA_CHREBP_PATHWAY	0.3
gemfibrozil	KEGG_BASAL_CELL_CARCINOMA	1
gemfibrozil	KEGG_MELANOGENESIS	0.73
gemfibrozil	KEGG_PATHWAYS_IN_CANCER	1
gemfibrozil	KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY	1
gemfibrozil	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_SOST_LRP4	1
gemfibrozil	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY	1
gemfibrozil	KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	1
gemfibrozil	REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	0.12
gemfibrozil	REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	0.17
gemfibrozil	REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.135
gemfibrozil	REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.325
gemfibrozil	WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME	0.845
gemfibrozil	WP_BREAST_CANCER_PATHWAY	1
gemfibrozil	WP_EMBRYONIC_STEM_CELL_PLURIPOTENCY_PATHWAYS	1
gemfibrozil	WP_FOXA2_PATHWAY	0
gemfibrozil	WP_OSTEOBLAST_DIFFERENTIATION_AND_RELATED_DISEASES	1
gemfibrozil	WP_WNT_SIGNALING_IN_KIDNEY_DISEASE	1
gemfibrozil	WP_WNT_SIGNALING_PATHWAY_AND_PLURIPOTENCY	1
atorvastatin	BIOCARTA_CHREBP_PATHWAY	0.095
atorvastatin	KEGG_BASAL_CELL_CARCINOMA	0.56
atorvastatin	KEGG_MELANOGENESIS	0.85
atorvastatin	KEGG_PATHWAYS_IN_CANCER	0.31
atorvastatin	KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY	1
atorvastatin	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_SOST_LRP4	1
atorvastatin	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY	0.58
atorvastatin	KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY	0.565
atorvastatin	REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY	0.07
atorvastatin	REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	0.08
atorvastatin	REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.575
atorvastatin	REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	1
atorvastatin	WP_7Q11_23_COPY_NUMBER_VARIATION_SYNDROME	0.035
atorvastatin	WP_BREAST_CANCER_PATHWAY	0.775
atorvastatin	WP_EMBRYONIC_STEM_CELL_PLURIPOTENCY_PATHWAYS	1
atorvastatin	WP_FOXA2_PATHWAY	0.09
