drug	canonical_pathway	perm_pvalue_adj
miglitol	BIOCARTA_EICOSANOID_PATHWAY	1
miglitol	BIOCARTA_FMLP_PATHWAY	1
miglitol	BIOCARTA_PLCD_PATHWAY	1
miglitol	BIOCARTA_SHH_PATHWAY	1
miglitol	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.78
miglitol	KEGG_DILATED_CARDIOMYOPATHY	1
miglitol	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1
miglitol	KEGG_LINOLEIC_ACID_METABOLISM	0.4
miglitol	KEGG_LONG_TERM_DEPRESSION	1
miglitol	KEGG_SPHINGOLIPID_METABOLISM	0.036
miglitol	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.8
miglitol	KEGG_TGF_BETA_SIGNALING_PATHWAY	1
miglitol	KEGG_VEGF_SIGNALING_PATHWAY	1
miglitol	KEGG_MEDICUS_PATHOGEN_KSHV_LANA_TO_WNT_SIGNALING_PATHWAY	1
miglitol	KEGG_MEDICUS_PATHOGEN_SALMONELLA_AVRA_TO_BETA_CATENIN_SIGNALING_PATHWAY	1
miglitol	KEGG_MEDICUS_PATHOGEN_SARS_COV_2_NSP1_TO_TRANSLATION_INITIATION	0.84
miglitol	KEGG_MEDICUS_REFERENCE_BMP15_SIGNALING_PATHWAY	1
miglitol	KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY	1
miglitol	KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY_PTCH_CORECEPTOR	1
miglitol	KEGG_MEDICUS_REFERENCE_IL1_IL1R_P38_SIGNALING_PATHWAY	1
miglitol	KEGG_MEDICUS_REFERENCE_KINETOCHORE_FIBER_ORGANIZATION	1
miglitol	KEGG_MEDICUS_REFERENCE_METHIONINE_DEGRADATION	1
miglitol	KEGG_MEDICUS_REFERENCE_MEVALONATE_PATHWAY	1
miglitol	KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY	1
miglitol	KEGG_MEDICUS_VARIANT_CDH1_REDUCED_EXPRESSION_TO_BETA_CATENIN_SIGNALING_PATHWAY	1
miglitol	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_APC_TO_WNT_SIGNALING_PATHWAY	1
miglitol	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_AXIN_TO_WNT_SIGNALING_PATHWAY	1
miglitol	KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_PRNP_PI3K_NOX2_SIGNALING_PATHWAY	1
miglitol	PID_ECADHERIN_STABILIZATION_PATHWAY	1
miglitol	PID_EPHA_FWDPATHWAY	1
miglitol	PID_HEDGEHOG_2PATHWAY	1
miglitol	PID_HIF2PATHWAY	1
miglitol	PID_IL1_PATHWAY	1
miglitol	PID_INTEGRIN4_PATHWAY	1
miglitol	PID_INTEGRIN_CS_PATHWAY	1
miglitol	PID_RXR_VDR_PATHWAY	1
miglitol	REACTOME_ACYL_CHAIN_REMODELING_OF_CL	0.928
miglitol	REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	0.176
miglitol	REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.584
miglitol	REACTOME_ALK_MUTANTS_BIND_TKIS	1
miglitol	REACTOME_BASIGIN_INTERACTIONS	1
miglitol	REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS	1
miglitol	REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS	1
miglitol	REACTOME_COENZYME_A_BIOSYNTHESIS	0.14
miglitol	REACTOME_CRISTAE_FORMATION	0.5
miglitol	REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES	1
miglitol	REACTOME_DOPAMINE_RECEPTORS	0.732
miglitol	REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	1
miglitol	REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	1
miglitol	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	1
miglitol	REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	1
miglitol	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	1
miglitol	REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	0.34
miglitol	REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION	1
miglitol	REACTOME_GLYCOSPHINGOLIPID_CATABOLISM	0.044
miglitol	REACTOME_GLYCOSPHINGOLIPID_METABOLISM	0.044
miglitol	REACTOME_LIGAND_RECEPTOR_INTERACTIONS	1
miglitol	REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES	0.68
miglitol	REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS	0.944
miglitol	REACTOME_MET_ACTIVATES_RAS_SIGNALING	1
miglitol	REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS	0.06
miglitol	REACTOME_MITOCHONDRIAL_BIOGENESIS	1
miglitol	REACTOME_MRNA_SPLICING	1
miglitol	REACTOME_NEF_MEDIATED_CD4_DOWN_REGULATION	1
miglitol	REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION	1
miglitol	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	1
miglitol	REACTOME_PROTON_COUPLED_MONOCARBOXYLATE_TRANSPORT	0.288
miglitol	REACTOME_PYRUVATE_METABOLISM	0.348
miglitol	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	0.416
miglitol	REACTOME_RAC1_GTPASE_CYCLE	1
miglitol	REACTOME_RAC2_GTPASE_CYCLE	1
miglitol	REACTOME_RAC3_GTPASE_CYCLE	1
miglitol	REACTOME_REACTIONS_SPECIFIC_TO_THE_COMPLEX_N_GLYCAN_SYNTHESIS_PATHWAY	0.06
miglitol	REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	1
miglitol	REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	0.54
miglitol	REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	1
miglitol	REACTOME_RORA_ACTIVATES_GENE_EXPRESSION	1
miglitol	REACTOME_RUNX3_REGULATES_WNT_SIGNALING	1
miglitol	REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	0.88
miglitol	REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	1
miglitol	REACTOME_SIGNALING_BY_BMP	1
miglitol	REACTOME_SIGNALING_BY_VEGF	1
miglitol	REACTOME_SUMOYLATION_OF_DNA_METHYLATION_PROTEINS	1
miglitol	REACTOME_SYNTHESIS_OF_LIPOXINS_LX	0.896
miglitol	REACTOME_THYROXINE_BIOSYNTHESIS	0.864
miglitol	REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	1
miglitol	REACTOME_VLDLR_INTERNALISATION_AND_DEGRADATION	0.472
miglitol	REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4	1
miglitol	REACTOME_ZINC_EFFLUX_AND_COMPARTMENTALIZATION_BY_THE_SLC30_FAMILY	0.34
miglitol	WP_15Q25_COPY_NUMBER_VARIATION	1
miglitol	WP_AGE_RAGE_PATHWAY	1
miglitol	WP_AMPLIFICATION_AND_EXPANSION_OF_ONCOGENIC_PATHWAYS_AS_METASTATIC_TRAITS	1
miglitol	WP_APOE_AND_MIR_146_IN_INFLAMMATION_AND_ATHEROSCLEROSIS	1
miglitol	WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY	1
miglitol	WP_CHOLESTEROL_SYNTHESIS_DISORDERS	1
miglitol	WP_CILIARY_LANDSCAPE	0.184
miglitol	WP_CYTOSINE_METHYLATION	1
miglitol	WP_EICOSANOID_METABOLISM_VIA_CYCLOOXYGENASES_COX	0.392
miglitol	WP_EICOSANOID_SYNTHESIS	0.992
miglitol	WP_ETHANOL_METABOLISM_PRODUCTION_OF_ROS_BY_CYP2E1	1
miglitol	WP_GENES_TARGETED_BY_MIRNAS_IN_ADIPOCYTES	1
miglitol	WP_GENETIC_CAUSES_OF_PORTO_SINUSOIDAL_VASCULAR_DISEASE	1
miglitol	WP_GLYCOSPHINGOLIPID_METABOLISM	0.04
miglitol	WP_HAIR_FOLLICLE_DEVELOPMENT_ORGANOGENESIS_PART_2_OF_3	1
miglitol	WP_HEDGEHOG_SIGNALING_PATHWAY_WP4249	1
miglitol	WP_HEMATOPOIETIC_STEM_CELL_GENE_REGULATION_BY_GABP_ALPHA_BETA_COMPLEX	1
miglitol	WP_IL_1_SIGNALING_PATHWAY	1
miglitol	WP_INFLAMMATORY_RESPONSE_PATHWAY	1
miglitol	WP_INTERACTOME_OF_POLYCOMB_REPRESSIVE_COMPLEX_2_PRC2	1
miglitol	WP_METABOLISM_OF_ALPHA_LINOLENIC_ACID	1
miglitol	WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY	1
miglitol	WP_MEVALONATE_PATHWAY	1
miglitol	WP_MRNA_PROCESSING	1
miglitol	WP_MTHFR_DEFICIENCY	1
