drug	canonical_pathway	perm_pvalue_adj
aripiprazole	BIOCARTA_IL4_PATHWAY	0.352
aripiprazole	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1
aripiprazole	KEGG_RNA_DEGRADATION	1
aripiprazole	KEGG_SULFUR_METABOLISM	1
aripiprazole	KEGG_MEDICUS_REFERENCE_CHONDROITIN_SULFATE_BIOSYNTHESIS	1
aripiprazole	KEGG_MEDICUS_REFERENCE_COHESIN_LOADING	1
aripiprazole	KEGG_MEDICUS_REFERENCE_ESTABLISHMENT_OF_COHESION	1
aripiprazole	KEGG_MEDICUS_REFERENCE_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_LINKAGE_TETRASACCHARIDE	1
aripiprazole	KEGG_MEDICUS_REFERENCE_LOADING_OF_THE_SMC5_SMC6_COMPLEX	1
aripiprazole	PID_IL4_2PATHWAY	0.176
aripiprazole	PID_VEGFR1_2_PATHWAY	1
aripiprazole	REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	1
aripiprazole	REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	1
aripiprazole	REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	1
aripiprazole	REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	1
aripiprazole	REACTOME_CS_DS_DEGRADATION	1
aripiprazole	REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY	1
aripiprazole	REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	1
aripiprazole	REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE	1
aripiprazole	REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD	1
aripiprazole	REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS	1
aripiprazole	REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	1
aripiprazole	REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM	1
aripiprazole	REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	1
aripiprazole	REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	1
aripiprazole	REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	1
aripiprazole	REACTOME_METABOLISM_OF_CARBOHYDRATES	1
aripiprazole	REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS	1
aripiprazole	REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	1
aripiprazole	REACTOME_ORGANIC_ANION_TRANSPORT	1
aripiprazole	WP_COHESIN_COMPLEX_CORNELIA_DE_LANGE_SYNDROME	1
aripiprazole	WP_GLYCOSAMINOGLYCAN_SYNTHESIS_IN_FIBROBLASTS	1
aripiprazole	WP_IL_4_SIGNALING_PATHWAY	1
