drug	drug_category	target	entrezID	pharmacological_action
aripiprazole	Atypical antipsychotics	DRD2	1813	Yes
aripiprazole	Atypical antipsychotics	HTR2A	3356	Yes
aripiprazole	Atypical antipsychotics	HTR1A	3350	Unknown
aripiprazole	Atypical antipsychotics	ADRA1A	148	No
aripiprazole	Atypical antipsychotics	ADRA1B	147	No
aripiprazole	Atypical antipsychotics	ADRA2B	151	No
aripiprazole	Atypical antipsychotics	DRD3	1814	Unknown
aripiprazole	Atypical antipsychotics	HTR1D	3352	Unknown
aripiprazole	Atypical antipsychotics	HTR7	3363	Unknown
aripiprazole	Atypical antipsychotics	ADRA2A	150	No
aripiprazole	Atypical antipsychotics	ADRA2C	152	No
aripiprazole	Atypical antipsychotics	HRH1	3269	No
aripiprazole	Atypical antipsychotics	HTR1B	3351	Unknown
aripiprazole	Atypical antipsychotics	HTR2C	3358	Unknown
aripiprazole	Atypical antipsychotics	HTR3A	3359	Unknown
aripiprazole	Atypical antipsychotics	HTR6	3362	Unknown
aripiprazole	Atypical antipsychotics	DRD1	1812	Unknown
aripiprazole	Atypical antipsychotics	DRD4	1815	Unknown
aripiprazole	Atypical antipsychotics	DRD5	1816	Unknown
aripiprazole	Atypical antipsychotics	HTR1E	3354	Unknown
aripiprazole	Atypical antipsychotics	HTR2B	3357	Unknown
aripiprazole	Atypical antipsychotics	HTR5A	3361	Unknown
aripiprazole	Atypical antipsychotics	ADRB1	153	Unknown
aripiprazole	Atypical antipsychotics	ADRB2	154	Unknown
aripiprazole	Atypical antipsychotics	HRH2	3274	Unknown
aripiprazole	Atypical antipsychotics	HRH3	11255	Unknown
aripiprazole	Atypical antipsychotics	HRH4	59340	Unknown
aripiprazole	Atypical antipsychotics	CHRM1	1128	Unknown
aripiprazole	Atypical antipsychotics	CHRM2	1129	Unknown
aripiprazole	Atypical antipsychotics	CHRM3	1131	Unknown
aripiprazole	Atypical antipsychotics	CHRM4	1132	Unknown
aripiprazole	Atypical antipsychotics	CHRM5	1133	Unknown
aripiprazole	Atypical antipsychotics	OPRK1	4986	Unknown
aripiprazole	Atypical antipsychotics	OPRM1	4988	Unknown
aripiprazole	Atypical antipsychotics	OPRD1	4985	Unknown
aripiprazole	Atypical antipsychotics	GRIN1	2902	Unknown
aripiprazole	Atypical antipsychotics	GRIN2A	2903	Unknown
aripiprazole	Atypical antipsychotics	GRIN2B	2904	Unknown
aripiprazole	Atypical antipsychotics	GRIN2C	2905	Unknown
aripiprazole	Atypical antipsychotics	GRIN2D	2906	Unknown
aripiprazole	Atypical antipsychotics	GRIN3A	116443	Unknown
aripiprazole	Atypical antipsychotics	GRIN3B	116444	Unknown
aripiprazole	Atypical antipsychotics	SLC6A3	6531	Unknown
aripiprazole	Atypical antipsychotics	SLC6A4	6532	Unknown
asenapine	Atypical antipsychotics	DRD2	1813	Yes
asenapine	Atypical antipsychotics	HTR2A	3356	Yes
asenapine	Atypical antipsychotics	HTR1A	3350	Unknown
asenapine	Atypical antipsychotics	HTR1B	3351	Unknown
asenapine	Atypical antipsychotics	HTR2B	3357	Unknown
asenapine	Atypical antipsychotics	HTR2C	3358	Unknown
asenapine	Atypical antipsychotics	HTR5A	3361	Unknown
asenapine	Atypical antipsychotics	HTR6	3362	Unknown
asenapine	Atypical antipsychotics	HTR7	3363	Unknown
asenapine	Atypical antipsychotics	DRD1	1812	Unknown
asenapine	Atypical antipsychotics	DRD3	1814	Unknown
asenapine	Atypical antipsychotics	DRD4	1815	Unknown
asenapine	Atypical antipsychotics	ADRA1A	148	Unknown
asenapine	Atypical antipsychotics	ADRA2A	150	Unknown
asenapine	Atypical antipsychotics	ADRA2B	151	Unknown
asenapine	Atypical antipsychotics	ADRA2C	152	Unknown
asenapine	Atypical antipsychotics	HRH1	3269	Unknown
asenapine	Atypical antipsychotics	HRH2	3274	Unknown
asenapine	Atypical antipsychotics	ADRB1	153	Unknown
asenapine	Atypical antipsychotics	ADRB2	154	Unknown
clozapine	Atypical antipsychotics	DRD1	1812	Unknown
clozapine	Atypical antipsychotics	DRD2	1813	Yes
clozapine	Atypical antipsychotics	DRD3	1814	Unknown
clozapine	Atypical antipsychotics	DRD4	1815	Unknown
clozapine	Atypical antipsychotics	DRD5	1816	Unknown
clozapine	Atypical antipsychotics	HTR1A	3350	Unknown
clozapine	Atypical antipsychotics	HTR1B	3351	Unknown
clozapine	Atypical antipsychotics	HTR1D	3352	Unknown
clozapine	Atypical antipsychotics	HTR1E	3354	Unknown
clozapine	Atypical antipsychotics	HTR2A	3356	Yes
clozapine	Atypical antipsychotics	HTR3A	3359	Unknown
clozapine	Atypical antipsychotics	HTR2C	3358	Unknown
clozapine	Atypical antipsychotics	HTR6	3362	Unknown
clozapine	Atypical antipsychotics	HTR7	3363	Unknown
clozapine	Atypical antipsychotics	ADRA2C	152	No
clozapine	Atypical antipsychotics	HRH1	3269	Unknown
clozapine	Atypical antipsychotics	HRH4	59340	No
clozapine	Atypical antipsychotics	ADRA1A	148	Unknown
clozapine	Atypical antipsychotics	ADRA1B	147	No
clozapine	Atypical antipsychotics	ADRA2A	150	Unknown
clozapine	Atypical antipsychotics	ADRA2B	151	No
clozapine	Atypical antipsychotics	CHRM1	1128	Unknown
clozapine	Atypical antipsychotics	CHRM2	1129	Unknown
clozapine	Atypical antipsychotics	CHRM3	1131	Unknown
clozapine	Atypical antipsychotics	CHRM4	1132	Unknown
clozapine	Atypical antipsychotics	CHRM5	1133	Unknown
clozapine	Atypical antipsychotics	GSTP1	2950	Unknown
clozapine	Atypical antipsychotics	CALY	50632	Unknown
clozapine	Atypical antipsychotics	GABBR1	2550	Unknown
clozapine	Atypical antipsychotics	GABBR2	9568	Unknown
clozapine	Atypical antipsychotics	GABRA1	2554	Unknown
clozapine	Atypical antipsychotics	GABRB1	2560	Unknown
clozapine	Atypical antipsychotics	GABRG1	2565	Unknown
iloperidone	Atypical antipsychotics	HTR2A	3356	Yes
iloperidone	Atypical antipsychotics	DRD2	1813	Yes
iloperidone	Atypical antipsychotics	DRD1	1812	Unknown
iloperidone	Atypical antipsychotics	DRD3	1814	Unknown
iloperidone	Atypical antipsychotics	DRD4	1815	Unknown
iloperidone	Atypical antipsychotics	HTR1A	3350	Unknown
iloperidone	Atypical antipsychotics	HTR6	3362	Unknown
iloperidone	Atypical antipsychotics	HTR7	3363	Unknown
iloperidone	Atypical antipsychotics	ADRA1A	148	Unknown
iloperidone	Atypical antipsychotics	HRH1	3269	Unknown
iloperidone	Atypical antipsychotics	ADRA2C	152	Unknown
lurasidone	Atypical antipsychotics	HTR2A	3356	Yes
lurasidone	Atypical antipsychotics	DRD2	1813	Yes
lurasidone	Atypical antipsychotics	HTR7	3363	Unknown
lurasidone	Atypical antipsychotics	HTR1A	3350	Unknown
lurasidone	Atypical antipsychotics	ADRA2C	152	Unknown
lurasidone	Atypical antipsychotics	ADRA2A	150	Unknown
olanzapine	Atypical antipsychotics	HTR2A	3356	Yes
olanzapine	Atypical antipsychotics	DRD1	1812	Unknown
olanzapine	Atypical antipsychotics	DRD2	1813	Yes
olanzapine	Atypical antipsychotics	DRD3	1814	Unknown
olanzapine	Atypical antipsychotics	DRD4	1815	Unknown
olanzapine	Atypical antipsychotics	DRD5	1816	Unknown
olanzapine	Atypical antipsychotics	ADRB1	153	No
olanzapine	Atypical antipsychotics	ADRB2	154	No
olanzapine	Atypical antipsychotics	ADRB3	155	No
olanzapine	Atypical antipsychotics	GABRA1	2554	No
olanzapine	Atypical antipsychotics	GABRA2	2555	No
olanzapine	Atypical antipsychotics	GABRA3	2556	No
olanzapine	Atypical antipsychotics	GABRA5	2558	No
olanzapine	Atypical antipsychotics	GABRG1	2565	No
olanzapine	Atypical antipsychotics	GABRG2	2566	No
olanzapine	Atypical antipsychotics	GABRG3	2567	No
olanzapine	Atypical antipsychotics	HTR3A	3359	Unknown
olanzapine	Atypical antipsychotics	HTR2C	3358	Unknown
olanzapine	Atypical antipsychotics	HTR6	3362	Unknown
olanzapine	Atypical antipsychotics	HRH1	3269	Unknown
olanzapine	Atypical antipsychotics	ADRA1A	148	Unknown
olanzapine	Atypical antipsychotics	ADRA1B	147	Unknown
olanzapine	Atypical antipsychotics	CHRM1	1128	Unknown
olanzapine	Atypical antipsychotics	CHRM2	1129	Unknown
olanzapine	Atypical antipsychotics	CHRM3	1131	Unknown
olanzapine	Atypical antipsychotics	CHRM4	1132	Unknown
olanzapine	Atypical antipsychotics	HTR1A	3350	Unknown
olanzapine	Atypical antipsychotics	HTR1B	3351	Unknown
olanzapine	Atypical antipsychotics	HTR1D	3352	Unknown
olanzapine	Atypical antipsychotics	HTR1E	3354	Unknown
olanzapine	Atypical antipsychotics	HTR1F	3355	Unknown
paliperidone	Atypical antipsychotics	HTR2A	3356	Yes
paliperidone	Atypical antipsychotics	DRD2	1813	Yes
paliperidone	Atypical antipsychotics	DRD4	1815	Yes
paliperidone	Atypical antipsychotics	DRD3	1814	Yes
