drug	canonical_pathway	perm_pvalue_adj
tranylcypromine	BIOCARTA_PTC1_PATHWAY	1
tranylcypromine	BIOCARTA_SHH_PATHWAY	1
tranylcypromine	KEGG_HEDGEHOG_SIGNALING_PATHWAY	1
tranylcypromine	KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY	1
tranylcypromine	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	1
tranylcypromine	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	1
tranylcypromine	PID_HEDGEHOG_GLI_PATHWAY	1
tranylcypromine	REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION	1
tranylcypromine	REACTOME_HEDGEHOG_ON_STATE	1
tranylcypromine	REACTOME_SIGNALING_BY_HEDGEHOG	1
tranylcypromine	WP_EDA_SIGNALING_IN_HAIR_FOLLICLE_DEVELOPMENT	1
tranylcypromine	WP_HAIR_FOLLICLE_DEVELOPMENT_ORGANOGENESIS_PART_2_OF_3	1
tranylcypromine	WP_HEDGEHOG_SIGNALING_PATHWAY_WP47	1
phenelzine	BIOCARTA_PTC1_PATHWAY	1
phenelzine	BIOCARTA_SHH_PATHWAY	1
phenelzine	KEGG_HEDGEHOG_SIGNALING_PATHWAY	1
phenelzine	KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY	1
phenelzine	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	1
phenelzine	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	1
phenelzine	PID_HEDGEHOG_GLI_PATHWAY	1
phenelzine	REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION	1
phenelzine	REACTOME_HEDGEHOG_ON_STATE	1
phenelzine	REACTOME_SIGNALING_BY_HEDGEHOG	1
phenelzine	WP_EDA_SIGNALING_IN_HAIR_FOLLICLE_DEVELOPMENT	1
phenelzine	WP_HAIR_FOLLICLE_DEVELOPMENT_ORGANOGENESIS_PART_2_OF_3	1
phenelzine	WP_HEDGEHOG_SIGNALING_PATHWAY_WP47	1
bupropion	BIOCARTA_PTC1_PATHWAY	1
bupropion	BIOCARTA_SHH_PATHWAY	0.32
bupropion	KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.336
bupropion	KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY	0.04
bupropion	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	0.188
bupropion	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	0.188
bupropion	PID_HEDGEHOG_GLI_PATHWAY	0.728
bupropion	REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION	0.008
bupropion	REACTOME_HEDGEHOG_ON_STATE	0.144
bupropion	REACTOME_SIGNALING_BY_HEDGEHOG	0.28
bupropion	WP_EDA_SIGNALING_IN_HAIR_FOLLICLE_DEVELOPMENT	0.212
bupropion	WP_HAIR_FOLLICLE_DEVELOPMENT_ORGANOGENESIS_PART_2_OF_3	0.408
bupropion	WP_HEDGEHOG_SIGNALING_PATHWAY_WP47	0.092
fluvoxamine	BIOCARTA_PTC1_PATHWAY	1
fluvoxamine	BIOCARTA_SHH_PATHWAY	0.236
fluvoxamine	KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.426
fluvoxamine	KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY	0.976
fluvoxamine	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	0.824
fluvoxamine	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	0.824
fluvoxamine	PID_HEDGEHOG_GLI_PATHWAY	0.32
fluvoxamine	REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION	1
fluvoxamine	REACTOME_HEDGEHOG_ON_STATE	1
fluvoxamine	REACTOME_SIGNALING_BY_HEDGEHOG	0.788
fluvoxamine	WP_EDA_SIGNALING_IN_HAIR_FOLLICLE_DEVELOPMENT	1
fluvoxamine	WP_HAIR_FOLLICLE_DEVELOPMENT_ORGANOGENESIS_PART_2_OF_3	0.58
fluvoxamine	WP_HEDGEHOG_SIGNALING_PATHWAY_WP47	1
paroxetine	BIOCARTA_PTC1_PATHWAY	1
paroxetine	BIOCARTA_SHH_PATHWAY	0.35
paroxetine	KEGG_HEDGEHOG_SIGNALING_PATHWAY	1
paroxetine	KEGG_MEDICUS_REFERENCE_HEDGEHOG_SIGNALING_PATHWAY	1
paroxetine	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	1
paroxetine	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	1
paroxetine	PID_HEDGEHOG_GLI_PATHWAY	0.07
paroxetine	REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION	1
paroxetine	REACTOME_HEDGEHOG_ON_STATE	1
paroxetine	REACTOME_SIGNALING_BY_HEDGEHOG	1
