drug	drug_category	target	entrezID	pharmacological_action
tranylcypromine	Monoamine oxidase inhibitors (MAOI)	MAOB	4129	Yes
tranylcypromine	Monoamine oxidase inhibitors (MAOI)	MAOA	4128	Yes
phenelzine	Monoamine oxidase inhibitors (MAOI)	MAOB	4129	Yes
phenelzine	Monoamine oxidase inhibitors (MAOI)	MAOA	4128	Yes
phenelzine	Monoamine oxidase inhibitors (MAOI)	AOC3	8639	Unknown
phenelzine	Monoamine oxidase inhibitors (MAOI)	ABAT	18	Unknown
phenelzine	Monoamine oxidase inhibitors (MAOI)	GPT	2875	Unknown
phenelzine	Monoamine oxidase inhibitors (MAOI)	GPT2	84706	Unknown
phenelzine	Monoamine oxidase inhibitors (MAOI)	GAD65	2572	Unknown
bupropion	Norepinephrine-dopamine reuptake inhibitor (NDPI)	SLC6A3	6531	Yes
bupropion	Norepinephrine-dopamine reuptake inhibitor (NDPI)	SLC6A2	6530	Yes
bupropion	Norepinephrine-dopamine reuptake inhibitor (NDPI)	CHRNA3	1136	Unknown
bupropion	Norepinephrine-dopamine reuptake inhibitor (NDPI)	HTR3A	3359	Unknown
fluvoxamine	Selective serotonin reuptake inhibitors (SSRI)	SLC6A4	6532	Yes
fluvoxamine	Selective serotonin reuptake inhibitors (SSRI)	KCNH2	3757	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	SLC6A4	6532	Yes
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	SLC6A2	6530	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR2A	3356	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	DRD2	1813	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HRH1	3269	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR2B	3357	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	ADRA1A	148	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	ADRA1B	147	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	ADRA1D	146	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	ADRA2A	150	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	ADRA2B	151	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	ADRA2C	152	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	ADRB1	153	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	ADRB2	154	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	ADRB3	155	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR1A	3350	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR1B	3351	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR1D	3352	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR1E	3354	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR1F	3355	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR2C	3358	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR3A	3359	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR3B	9177	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR3C	170572	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR3D	200909	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR3E	285242	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR4	3360	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR6	3362	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR7	3363	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	CHRM1	1128	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	CHRM2	1129	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	CHRM3	1131	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	CHRM4	1132	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	CHRM5	1133	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	DRD1	1812	Unknown
paroxetine	Selective serotonin reuptake inhibitors (SSRI)	DRD5	1816	Unknown
citalopram	Selective serotonin reuptake inhibitors (SSRI)	SLC6A4	6532	Yes
citalopram	Selective serotonin reuptake inhibitors (SSRI)	HRH1	3269	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	SLC6A4	6532	Yes
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	CHRM1	1128	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	HRH1	3269	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	HTR1A	3350	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	HTR2A	3356	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	HTR2C	3358	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	DRD2	1813	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	SLC6A2	6530	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	SLC6A3	6531	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	ADRA1A	148	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	ADRA1B	147	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	ADRA1D	146	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	ADRA2B	151	Unknown
escitalopram	Selective serotonin reuptake inhibitors (SSRI)	ADRA2C	152	Unknown
sertraline	Selective serotonin reuptake inhibitors (SSRI)	SLC6A4	6532	Yes
sertraline	Selective serotonin reuptake inhibitors (SSRI)	SLC6A3	6531	Unknown
sertraline	Selective serotonin reuptake inhibitors (SSRI)	SLC6A2	6530	Unknown
sertraline	Selective serotonin reuptake inhibitors (SSRI)	SLC29A4	222962	Unknown
sertraline	Selective serotonin reuptake inhibitors (SSRI)	PGRMC1	10857	Unknown
sertraline	Selective serotonin reuptake inhibitors (SSRI)	SIGMAR1	10280	Unknown
fluoxetine	Selective serotonin reuptake inhibitors (SSRI)	SLC6A4	6532	Yes
fluoxetine	Selective serotonin reuptake inhibitors (SSRI)	HTR2C	3358	Unknown
fluoxetine	Selective serotonin reuptake inhibitors (SSRI)	CHRNA2	1135	Unknown
fluoxetine	Selective serotonin reuptake inhibitors (SSRI)	CHRNA3	1136	Unknown
fluoxetine	Selective serotonin reuptake inhibitors (SSRI)	CHRNB4	1143	Unknown
fluoxetine	Selective serotonin reuptake inhibitors (SSRI)	CKS1B	1163	Unknown
fluoxetine	Selective serotonin reuptake inhibitors (SSRI)	KCNH2	3757	Unknown
vilazodone	Serotonin modulators	SLC6A4	6532	Yes
vilazodone	Serotonin modulators	HTR1A	3350	Unknown
vortioxetine	Serotonin modulators	SLC6A4	6532	Yes
vortioxetine	Serotonin modulators	HTR3A	3359	Yes
vortioxetine	Serotonin modulators	HTR7	3363	Yes
vortioxetine	Serotonin modulators	HTR1B	3351	Yes
