drug	canonical_pathway	perm_pvalue_adj
bempedoic acid	BIOCARTA_ACETAMINOPHEN_PATHWAY	0.096
bempedoic acid	BIOCARTA_EPHA4_PATHWAY	0.748
bempedoic acid	BIOCARTA_FXR_PATHWAY	0.061
bempedoic acid	BIOCARTA_NUCLEARRS_PATHWAY	0.085
bempedoic acid	BIOCARTA_STATHMIN_PATHWAY	0.74
bempedoic acid	KEGG_ABC_TRANSPORTERS	0.129
bempedoic acid	KEGG_AXON_GUIDANCE	0.744
bempedoic acid	KEGG_ECM_RECEPTOR_INTERACTION	0.737
bempedoic acid	KEGG_FOCAL_ADHESION	0.78
bempedoic acid	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.029
bempedoic acid	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.588
bempedoic acid	KEGG_MTOR_SIGNALING_PATHWAY	0.669
bempedoic acid	KEGG_O_GLYCAN_BIOSYNTHESIS	0.551
bempedoic acid	KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.024
bempedoic acid	KEGG_REGULATION_OF_AUTOPHAGY	0.476
bempedoic acid	KEGG_RIBOSOME	0.618
bempedoic acid	KEGG_SULFUR_METABOLISM	0.075
bempedoic acid	KEGG_MEDICUS_ENV_FACTOR_PHIP_TO_DNA_ADDUCTS	0.043
bempedoic acid	KEGG_MEDICUS_PATHOGEN_SARS_COV_2_NSP1_TO_TRANSLATION_INITIATION	0.657
bempedoic acid	KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_E3_UBIQUITIN_LIGASE_MALIN	0.517
bempedoic acid	KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1	0.507
bempedoic acid	KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_PACER_RUBCN_PI3KC3_C2	0.538
